
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.95
2,1:y,1:y,,0.887
3,1:y,1:y,,0.927
4,2:n,1:y,+,0.577
5,2:n,2:n,,0.967
6,2:n,1:y,+,0.73
7,2:n,2:n,,0.99
8,2:n,1:y,+,0.6
9,2:n,2:n,,0.693
10,1:y,1:y,,0.76
11,2:n,2:n,,0.923
12,1:y,1:y,,0.967
13,1:y,1:y,,0.983
14,2:n,1:y,+,0.907
15,1:y,2:n,+,0.88
16,2:n,2:n,,0.703
17,1:y,1:y,,0.9
18,1:y,2:n,+,0.59
19,2:n,2:n,,0.84
20,1:y,1:y,,0.823
21,2:n,2:n,,0.99
22,1:y,1:y,,0.73
23,1:y,1:y,,0.997
24,2:n,2:n,,0.617
25,2:n,1:y,+,0.683
26,2:n,2:n,,0.883
27,1:y,1:y,,0.937
28,2:n,1:y,+,0.567
29,1:y,1:y,,0.88
30,2:n,2:n,,0.957
31,1:y,1:y,,0.997
32,1:y,1:y,,0.833
33,1:y,1:y,,0.91
34,2:n,2:n,,0.837
35,1:y,1:y,,0.793
36,2:n,2:n,,0.737
37,1:y,1:y,,0.947
38,1:y,1:y,,0.973
39,1:y,1:y,,0.877
40,1:y,1:y,,0.96
41,2:n,2:n,,0.963
42,1:y,1:y,,0.987
43,2:n,2:n,,0.973
44,2:n,2:n,,0.673
45,1:y,1:y,,0.87
46,1:y,1:y,,0.977
47,2:n,1:y,+,0.9
48,2:n,2:n,,0.96
49,1:y,1:y,,0.997
50,2:n,2:n,,0.62
51,1:y,1:y,,0.987
52,1:y,1:y,,0.65
53,2:n,1:y,+,0.927
54,1:y,1:y,,0.657
55,2:n,2:n,,0.99
56,1:y,1:y,,0.787
57,2:n,2:n,,0.987
58,2:n,2:n,,0.87
59,1:y,2:n,+,0.93
60,1:y,1:y,,0.94
61,2:n,1:y,+,0.63
62,2:n,2:n,,0.987
63,1:y,1:y,,0.893
64,2:n,1:y,+,0.513
65,1:y,1:y,,0.803
66,1:y,1:y,,0.917
67,1:y,1:y,,0.873
68,2:n,1:y,+,0.6
69,1:y,1:y,,0.77
70,2:n,2:n,,0.77
71,1:y,1:y,,0.667
72,2:n,2:n,,0.973
73,1:y,1:y,,0.847
74,2:n,2:n,,0.92
75,2:n,2:n,,0.947
76,2:n,2:n,,0.633
77,2:n,2:n,,0.987
78,1:y,1:y,,0.917
79,1:y,1:y,,0.94
80,2:n,2:n,,0.987
81,1:y,1:y,,0.96
82,1:y,2:n,+,0.643
83,1:y,1:y,,0.697
84,1:y,1:y,,0.737
85,1:y,1:y,,0.907
86,1:y,1:y,,0.643
87,1:y,1:y,,0.697
88,2:n,2:n,,0.957
89,1:y,1:y,,0.843
90,2:n,2:n,,0.723
91,2:n,1:y,+,0.853
92,1:y,1:y,,0.95
93,1:y,1:y,,0.99
94,2:n,2:n,,0.983
95,2:n,1:y,+,0.797
96,1:y,1:y,,0.813
97,2:n,2:n,,0.84
98,2:n,1:y,+,0.623
99,1:y,1:y,,0.73
100,1:y,1:y,,0.977
101,2:n,2:n,,0.97
102,2:n,2:n,,0.97
103,1:y,1:y,,0.867
104,2:n,2:n,,0.847
105,1:y,1:y,,1
106,2:n,2:n,,1
107,1:y,1:y,,0.87
108,2:n,2:n,,0.893
109,1:y,1:y,,0.86
110,2:n,2:n,,0.7
111,1:y,1:y,,0.963
112,2:n,2:n,,0.977
113,2:n,2:n,,0.97
114,2:n,2:n,,0.947
115,1:y,1:y,,0.907
116,2:n,1:y,+,0.877
117,1:y,1:y,,0.64
118,2:n,2:n,,0.937
119,2:n,2:n,,0.95
120,2:n,1:y,+,0.673
121,2:n,1:y,+,0.833
122,2:n,1:y,+,0.943
123,2:n,2:n,,0.987
124,1:y,1:y,,0.943
125,2:n,2:n,,0.937
126,2:n,1:y,+,0.59
127,2:n,2:n,,0.98
128,2:n,2:n,,0.973
129,2:n,2:n,,0.98
130,2:n,2:n,,0.963
131,1:y,1:y,,0.997
132,1:y,1:y,,0.897
133,1:y,1:y,,0.78
134,1:y,1:y,,0.893
135,2:n,2:n,,0.94
136,1:y,1:y,,0.973
137,2:n,2:n,,0.97
138,2:n,2:n,,0.963
139,1:y,1:y,,0.967
140,1:y,1:y,,0.933
141,2:n,2:n,,0.973
142,1:y,1:y,,0.983
143,2:n,2:n,,0.79
144,1:y,1:y,,0.83
145,1:y,1:y,,0.717
146,2:n,1:y,+,0.603
147,1:y,1:y,,0.957
148,1:y,1:y,,0.537
149,2:n,2:n,,0.963
150,1:y,1:y,,0.663
151,2:n,1:y,+,0.6
152,2:n,1:y,+,0.807
153,2:n,1:y,+,0.537
154,2:n,2:n,,0.867
155,2:n,1:y,+,0.61
156,1:y,1:y,,0.963
157,1:y,2:n,+,0.943
158,1:y,1:y,,0.893
159,1:y,1:y,,0.973
160,1:y,1:y,,0.92
161,2:n,2:n,,0.89
162,1:y,1:y,,1
163,2:n,2:n,,0.99
164,1:y,1:y,,0.983
165,1:y,1:y,,0.947
166,1:y,1:y,,0.793
167,2:n,1:y,+,0.823
168,1:y,1:y,,0.98
169,1:y,1:y,,0.937
170,2:n,2:n,,0.89
171,1:y,1:y,,0.63
172,2:n,1:y,+,0.837
173,2:n,1:y,+,0.603
174,1:y,1:y,,0.973
175,1:y,1:y,,0.95
176,1:y,1:y,,0.977
177,2:n,2:n,,0.887
178,1:y,1:y,,0.957
179,2:n,2:n,,0.747
180,2:n,2:n,,0.92
181,1:y,1:y,,0.977
182,1:y,1:y,,0.973
183,1:y,1:y,,0.957
184,2:n,2:n,,0.753
185,1:y,1:y,,0.92
186,1:y,1:y,,0.883
187,2:n,1:y,+,0.73
188,1:y,1:y,,0.993
189,2:n,2:n,,0.987
190,1:y,1:y,,0.927
191,2:n,2:n,,0.99
192,2:n,2:n,,0.953
193,1:y,1:y,,0.893
194,2:n,2:n,,0.89
195,1:y,1:y,,0.707
196,1:y,1:y,,0.5
197,1:y,1:y,,0.96
198,2:n,1:y,+,0.807
199,2:n,2:n,,0.743
200,1:y,1:y,,0.987
201,2:n,1:y,+,0.517
202,2:n,2:n,,0.983
203,2:n,1:y,+,0.78
204,1:y,1:y,,0.96
205,2:n,2:n,,0.753
206,1:y,1:y,,0.987
207,1:y,1:y,,0.97
208,1:y,1:y,,0.773
209,2:n,1:y,+,0.53
210,1:y,1:y,,0.76
211,1:y,1:y,,0.957
212,2:n,2:n,,0.89
213,1:y,2:n,+,0.76
214,1:y,1:y,,0.99
215,2:n,2:n,,0.78
216,1:y,1:y,,0.96
217,1:y,1:y,,0.823
218,1:y,1:y,,0.787
219,2:n,1:y,+,0.717
220,2:n,1:y,+,0.613
221,2:n,2:n,,0.99
222,1:y,1:y,,0.613
223,2:n,2:n,,0.967
224,2:n,2:n,,0.823
225,1:y,1:y,,0.823
226,1:y,1:y,,0.65
227,1:y,1:y,,0.813
228,1:y,1:y,,0.797
229,1:y,1:y,,0.957
230,1:y,1:y,,1
231,2:n,2:n,,0.647
232,1:y,2:n,+,0.687
233,1:y,1:y,,0.623
234,1:y,1:y,,0.91
235,2:n,2:n,,0.967
236,1:y,1:y,,0.977
237,2:n,2:n,,0.963
238,1:y,1:y,,0.973
239,1:y,1:y,,0.873
240,1:y,1:y,,0.99
241,1:y,1:y,,0.803
242,1:y,1:y,,0.917
243,2:n,2:n,,0.977
244,2:n,2:n,,0.92
245,1:y,1:y,,0.947
246,2:n,1:y,+,0.957
247,1:y,1:y,,0.813
248,2:n,2:n,,0.95
249,1:y,1:y,,0.693
250,1:y,2:n,+,0.953
251,1:y,1:y,,0.623
252,1:y,1:y,,0.99
253,1:y,1:y,,0.793
254,1:y,1:y,,0.64
255,1:y,1:y,,0.987
256,1:y,1:y,,0.98
257,1:y,1:y,,0.993
258,1:y,2:n,+,0.933
259,1:y,1:y,,0.957
260,1:y,1:y,,0.937
261,1:y,1:y,,0.993
262,1:y,1:y,,0.96
263,1:y,1:y,,0.803
264,1:y,1:y,,0.863
265,1:y,1:y,,0.953
266,1:y,1:y,,0.907
267,1:y,2:n,+,0.56
268,1:y,1:y,,0.797
269,2:n,2:n,,0.663
270,1:y,1:y,,0.743
271,1:y,1:y,,0.98
272,1:y,1:y,,0.893
273,2:n,2:n,,0.637
274,1:y,1:y,,0.877
275,2:n,1:y,+,0.7
276,1:y,1:y,,0.993
277,1:y,1:y,,0.95
278,1:y,1:y,,0.833
279,1:y,1:y,,0.99
280,1:y,1:y,,0.72
281,2:n,2:n,,0.76
