
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.979
2,1:y,1:y,,0.921
3,1:y,1:y,,0.953
4,2:n,2:n,,0.663
5,2:n,2:n,,0.995
6,2:n,2:n,,0.937
7,2:n,2:n,,0.984
8,2:n,2:n,,0.989
9,2:n,2:n,,0.989
10,1:y,1:y,,0.926
11,2:n,2:n,,0.905
12,1:y,1:y,,0.984
13,1:y,1:y,,0.984
14,2:n,2:n,,0.858
15,1:y,2:n,+,0.921
16,2:n,2:n,,1
17,1:y,1:y,,0.921
18,1:y,1:y,,0.905
19,2:n,2:n,,0.779
20,1:y,1:y,,0.968
21,2:n,2:n,,1
22,1:y,1:y,,0.947
23,1:y,1:y,,0.995
24,2:n,2:n,,1
25,2:n,2:n,,0.995
26,2:n,2:n,,0.995
27,1:y,1:y,,0.984
28,2:n,2:n,,0.568
29,1:y,1:y,,0.984
30,2:n,2:n,,0.963
31,1:y,1:y,,0.984
32,1:y,1:y,,0.974
33,1:y,1:y,,0.974
34,2:n,2:n,,0.863
35,1:y,1:y,,0.921
36,2:n,2:n,,0.732
37,1:y,1:y,,0.947
38,1:y,1:y,,0.979
39,1:y,1:y,,0.989
40,1:y,1:y,,0.979
41,2:n,2:n,,0.963
42,1:y,1:y,,0.974
43,2:n,2:n,,0.989
44,2:n,2:n,,0.984
45,1:y,1:y,,0.947
46,1:y,1:y,,0.995
47,2:n,1:y,+,0.953
48,2:n,2:n,,0.984
49,1:y,1:y,,1
50,2:n,2:n,,1
51,1:y,1:y,,0.995
52,1:y,1:y,,0.974
53,2:n,1:y,+,0.968
54,1:y,1:y,,0.868
55,2:n,2:n,,0.989
56,1:y,1:y,,0.947
57,2:n,2:n,,0.989
58,2:n,2:n,,0.847
59,1:y,2:n,+,0.884
60,1:y,1:y,,0.989
61,2:n,2:n,,0.974
62,2:n,2:n,,0.989
63,1:y,1:y,,0.958
64,2:n,2:n,,0.995
65,1:y,1:y,,0.947
66,1:y,1:y,,0.942
67,1:y,1:y,,0.958
68,2:n,2:n,,0.989
69,1:y,1:y,,0.926
70,2:n,2:n,,1
71,1:y,1:y,,0.953
72,2:n,2:n,,1
73,1:y,1:y,,0.926
74,2:n,2:n,,1
75,2:n,2:n,,0.968
76,2:n,2:n,,0.853
77,2:n,2:n,,0.963
78,1:y,1:y,,0.995
79,1:y,1:y,,0.947
80,2:n,2:n,,0.984
81,1:y,1:y,,0.947
82,1:y,1:y,,0.553
83,1:y,1:y,,0.911
84,1:y,1:y,,0.947
85,1:y,1:y,,0.974
86,1:y,1:y,,0.953
87,1:y,2:n,+,0.947
88,2:n,2:n,,0.963
89,1:y,1:y,,0.953
90,2:n,2:n,,1
91,2:n,1:y,+,0.932
92,1:y,1:y,,0.989
93,1:y,1:y,,0.989
94,2:n,2:n,,0.986
95,2:n,2:n,,0.963
96,1:y,2:n,+,0.916
97,2:n,2:n,,0.779
98,2:n,2:n,,0.995
99,1:y,1:y,,0.953
100,1:y,1:y,,0.984
101,2:n,2:n,,0.968
102,2:n,2:n,,0.979
103,1:y,1:y,,0.963
104,2:n,2:n,,0.921
105,1:y,1:y,,1
106,2:n,2:n,,1
107,1:y,1:y,,0.847
108,2:n,2:n,,0.995
109,1:y,1:y,,0.932
110,2:n,2:n,,0.674
111,1:y,1:y,,0.989
112,2:n,2:n,,0.974
113,2:n,2:n,,0.979
114,2:n,2:n,,0.995
115,1:y,1:y,,0.889
116,2:n,1:y,+,0.932
117,1:y,1:y,,0.926
118,2:n,2:n,,1
119,2:n,2:n,,0.953
120,2:n,2:n,,0.995
121,2:n,2:n,,0.974
122,2:n,2:n,,0.968
123,2:n,2:n,,0.979
124,1:y,1:y,,0.963
125,2:n,2:n,,0.968
126,2:n,1:y,+,0.889
127,2:n,2:n,,0.974
128,2:n,2:n,,0.947
129,2:n,2:n,,0.974
130,2:n,2:n,,0.942
131,1:y,1:y,,0.995
132,1:y,1:y,,0.895
133,1:y,1:y,,0.9
134,1:y,1:y,,0.921
135,2:n,2:n,,0.937
136,1:y,1:y,,0.989
137,2:n,2:n,,0.995
138,2:n,2:n,,0.968
139,1:y,1:y,,0.989
140,1:y,1:y,,0.989
141,2:n,2:n,,0.984
142,1:y,1:y,,0.963
143,2:n,2:n,,0.726
144,1:y,1:y,,0.774
145,1:y,1:y,,0.916
146,2:n,2:n,,0.974
147,1:y,1:y,,0.963
148,1:y,1:y,,0.553
149,2:n,2:n,,0.958
150,1:y,1:y,,0.816
151,2:n,2:n,,0.995
152,2:n,1:y,+,0.926
153,2:n,2:n,,0.963
154,2:n,2:n,,1
155,2:n,2:n,,0.932
156,1:y,1:y,,0.979
157,1:y,2:n,+,0.968
158,1:y,1:y,,0.989
159,1:y,1:y,,0.963
160,1:y,1:y,,0.937
161,2:n,2:n,,0.995
162,1:y,1:y,,0.989
163,2:n,2:n,,1
164,1:y,1:y,,0.989
165,1:y,1:y,,0.974
166,1:y,1:y,,0.932
167,2:n,2:n,,0.995
168,1:y,1:y,,1
169,1:y,1:y,,0.953
170,2:n,2:n,,0.953
171,1:y,1:y,,0.889
172,2:n,1:y,+,0.932
173,2:n,2:n,,0.984
174,1:y,1:y,,0.995
175,1:y,1:y,,0.963
176,1:y,1:y,,0.989
177,2:n,2:n,,0.932
178,1:y,1:y,,0.979
179,2:n,2:n,,0.8
180,2:n,2:n,,0.921
181,1:y,1:y,,0.989
182,1:y,1:y,,0.968
183,1:y,1:y,,0.963
184,2:n,2:n,,0.995
185,1:y,1:y,,0.9
186,1:y,1:y,,0.989
187,2:n,2:n,,0.974
188,1:y,1:y,,0.995
189,2:n,2:n,,0.984
190,1:y,1:y,,0.979
191,2:n,2:n,,0.963
192,2:n,2:n,,0.974
193,1:y,1:y,,0.984
194,2:n,2:n,,0.921
195,1:y,1:y,,0.811
196,1:y,1:y,,0.932
197,1:y,1:y,,0.963
198,2:n,2:n,,0.963
199,2:n,2:n,,0.995
200,1:y,1:y,,0.995
201,2:n,2:n,,1
202,2:n,2:n,,0.989
203,2:n,2:n,,0.995
204,1:y,1:y,,0.942
205,2:n,2:n,,0.821
206,1:y,1:y,,0.995
207,1:y,1:y,,0.963
208,1:y,1:y,,0.926
209,2:n,2:n,,1
210,1:y,1:y,,0.942
211,1:y,1:y,,0.979
212,2:n,2:n,,0.995
213,1:y,2:n,+,0.663
214,1:y,1:y,,0.995
215,2:n,2:n,,0.784
216,1:y,1:y,,0.953
217,1:y,1:y,,0.937
218,1:y,1:y,,0.953
219,2:n,2:n,,0.995
220,2:n,2:n,,0.995
221,2:n,2:n,,0.989
222,1:y,1:y,,0.879
223,2:n,2:n,,0.989
224,2:n,2:n,,1
225,1:y,1:y,,0.879
226,1:y,1:y,,0.779
227,1:y,1:y,,0.947
228,1:y,1:y,,0.968
229,1:y,1:y,,0.974
230,1:y,1:y,,0.995
231,2:n,2:n,,1
232,1:y,2:n,+,0.763
233,1:y,1:y,,0.958
234,1:y,1:y,,0.853
235,2:n,2:n,,0.974
236,1:y,1:y,,0.995
237,2:n,2:n,,0.963
238,1:y,1:y,,0.979
239,1:y,1:y,,0.863
240,1:y,1:y,,0.995
241,1:y,1:y,,0.963
242,1:y,1:y,,0.932
243,2:n,2:n,,0.979
244,2:n,2:n,,0.937
245,1:y,1:y,,0.989
246,2:n,1:y,+,0.979
247,1:y,1:y,,0.968
248,2:n,2:n,,0.979
249,1:y,1:y,,0.921
250,1:y,2:n,+,0.953
251,1:y,1:y,,0.858
252,1:y,1:y,,0.974
253,1:y,1:y,,0.926
254,1:y,1:y,,0.968
255,1:y,1:y,,0.995
256,1:y,1:y,,0.979
257,1:y,1:y,,0.995
258,1:y,2:n,+,0.974
259,1:y,1:y,,0.974
260,1:y,1:y,,0.963
261,1:y,1:y,,1
262,1:y,1:y,,0.968
263,1:y,1:y,,0.9
264,1:y,1:y,,0.937
265,1:y,1:y,,0.979
266,1:y,1:y,,0.953
267,1:y,2:n,+,0.568
268,1:y,1:y,,0.937
269,2:n,2:n,,0.668
270,1:y,1:y,,0.932
271,1:y,1:y,,1
272,1:y,1:y,,1
273,2:n,2:n,,0.721
274,1:y,1:y,,0.937
275,2:n,2:n,,0.984
276,1:y,1:y,,0.979
277,1:y,1:y,,0.932
278,1:y,1:y,,0.995
279,1:y,1:y,,0.995
280,1:y,1:y,,0.926
281,2:n,2:n,,0.979
282,1:y,1:y,,0.968
283,1:y,1:y,,0.947
284,2:n,2:n,,0.9
285,1:y,1:y,,0.953
286,2:n,2:n,,0.989
287,1:y,1:y,,0.968
288,1:y,1:y,,0.968
289,2:n,2:n,,0.937
290,2:n,2:n,,0.968
291,2:n,2:n,,0.989
292,2:n,2:n,,0.974
293,2:n,2:n,,0.979
294,1:y,1:y,,0.989
295,1:y,1:y,,0.979
296,2:n,2:n,,0.963
297,1:y,1:y,,0.968
298,1:y,1:y,,0.989
299,2:n,2:n,,0.995
300,1:y,1:y,,0.953
301,2:n,2:n,,0.968
302,2:n,2:n,,0.989
303,1:y,1:y,,0.958
304,2:n,2:n,,0.995
305,1:y,1:y,,0.963
306,1:y,1:y,,0.984
307,1:y,2:n,+,0.732
308,2:n,2:n,,0.889
309,1:y,1:y,,0.968
310,1:y,1:y,,0.947
311,2:n,2:n,,0.984
312,1:y,1:y,,0.521
313,2:n,2:n,,0.937
314,2:n,2:n,,0.995
315,1:y,1:y,,0.905
316,2:n,2:n,,0.984
317,2:n,2:n,,0.968
318,1:y,1:y,,0.895
319,1:y,1:y,,0.953
320,2:n,2:n,,1
321,2:n,2:n,,0.947
322,2:n,2:n,,0.968
323,1:y,1:y,,0.989
324,1:y,1:y,,0.947
325,1:y,1:y,,0.953
326,1:y,1:y,,0.953
327,1:y,1:y,,0.995
328,2:n,2:n,,0.995
329,1:y,1:y,,0.989
330,1:y,1:y,,0.984
331,1:y,1:y,,0.947
332,1:y,1:y,,1
333,1:y,1:y,,0.953
334,1:y,1:y,,0.974
335,1:y,1:y,,0.958
336,1:y,1:y,,0.979
337,1:y,1:y,,0.974
338,2:n,2:n,,0.789
339,1:y,1:y,,0.979
340,2:n,2:n,,0.995
341,1:y,1:y,,0.968
342,1:y,1:y,,0.979
343,2:n,2:n,,0.989
344,1:y,1:y,,0.989
345,2:n,2:n,,1
346,1:y,1:y,,0.937
347,2:n,2:n,,0.968
348,1:y,1:y,,0.995
349,2:n,2:n,,0.989
350,2:n,2:n,,0.984
351,1:y,1:y,,0.963
352,1:y,1:y,,0.958
353,1:y,1:y,,0.932
354,2:n,2:n,,0.995
355,2:n,2:n,,0.811
356,2:n,2:n,,1
357,1:y,1:y,,0.963
358,1:y,1:y,,0.995
359,2:n,2:n,,0.979
360,2:n,2:n,,0.974
361,1:y,1:y,,0.947
362,2:n,2:n,,0.953
363,1:y,1:y,,0.963
364,1:y,1:y,,0.958
365,1:y,1:y,,0.968
366,1:y,1:y,,0.984
367,2:n,2:n,,0.963
368,1:y,1:y,,0.995
369,1:y,1:y,,1
370,2:n,2:n,,0.989
371,1:y,1:y,,1
372,1:y,1:y,,0.989
373,1:y,1:y,,0.995
374,1:y,1:y,,0.984
375,1:y,1:y,,0.916
376,2:n,2:n,,0.995
377,1:y,1:y,,0.926
378,1:y,1:y,,0.953
379,1:y,1:y,,0.916
380,1:y,1:y,,0.963
381,1:y,1:y,,0.853
382,2:n,2:n,,0.858
383,1:y,1:y,,0.916
384,2:n,2:n,,0.984
385,2:n,2:n,,0.995
386,1:y,1:y,,0.916
387,2:n,2:n,,1
388,2:n,2:n,,0.995
389,2:n,2:n,,0.926
390,2:n,2:n,,0.984
391,1:y,1:y,,0.942
392,1:y,1:y,,0.979
393,1:y,1:y,,0.937
394,1:y,1:y,,0.963
395,2:n,2:n,,0.995
396,1:y,1:y,,0.989
397,2:n,2:n,,0.995
398,2:n,2:n,,0.932
399,1:y,1:y,,0.953
400,2:n,2:n,,0.979
401,1:y,1:y,,0.974
402,2:n,2:n,,1
403,2:n,2:n,,0.989
404,2:n,2:n,,0.958
405,1:y,1:y,,0.995
406,1:y,1:y,,0.911
407,2:n,2:n,,0.979
408,1:y,1:y,,0.942
409,1:y,1:y,,0.953
410,1:y,1:y,,1
411,1:y,1:y,,0.984
412,1:y,1:y,,0.889
413,1:y,1:y,,0.868
414,1:y,1:y,,0.932
415,2:n,2:n,,0.937
416,2:n,2:n,,0.984
417,1:y,1:y,,0.995
418,2:n,2:n,,0.968
419,2:n,2:n,,1
420,1:y,1:y,,0.989
