
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.965
2,1:y,1:y,,0.897
3,1:y,1:y,,0.958
4,2:n,1:y,+,0.842
5,2:n,2:n,,0.987
6,2:n,1:y,+,0.793
7,2:n,2:n,,0.995
8,2:n,1:y,+,0.647
9,2:n,2:n,,0.679
10,1:y,1:y,,0.797
11,2:n,2:n,,0.873
12,1:y,1:y,,0.681
13,1:y,1:y,,0.853
14,2:n,1:y,+,0.905
15,1:y,2:n,+,0.938
16,2:n,2:n,,0.739
17,1:y,1:y,,0.779
18,1:y,1:y,,0.764
19,2:n,2:n,,0.947
20,1:y,1:y,,0.735
21,2:n,2:n,,0.989
22,1:y,1:y,,0.768
23,1:y,1:y,,0.963
24,2:n,2:n,,0.693
25,2:n,1:y,+,0.686
26,2:n,2:n,,0.925
27,1:y,1:y,,0.943
28,2:n,2:n,,0.892
29,1:y,1:y,,0.902
30,2:n,2:n,,0.962
31,1:y,1:y,,0.972
32,1:y,1:y,,0.922
33,1:y,1:y,,0.945
34,2:n,2:n,,0.905
35,1:y,1:y,,0.785
36,2:n,2:n,,0.96
37,1:y,1:y,,0.717
38,1:y,1:y,,0.756
39,1:y,1:y,,0.942
40,1:y,1:y,,0.599
41,2:n,2:n,,0.997
42,1:y,1:y,,0.925
43,2:n,2:n,,0.988
44,2:n,2:n,,0.77
45,1:y,1:y,,0.897
46,1:y,1:y,,0.99
47,2:n,1:y,+,0.918
48,2:n,2:n,,0.97
49,1:y,1:y,,0.947
50,2:n,2:n,,0.886
51,1:y,1:y,,0.955
52,1:y,1:y,,0.626
53,2:n,1:y,+,0.988
54,1:y,1:y,,0.847
55,2:n,2:n,,0.993
56,1:y,1:y,,0.815
57,2:n,2:n,,0.995
58,2:n,2:n,,0.883
59,1:y,2:n,+,0.901
60,1:y,1:y,,0.957
61,2:n,1:y,+,0.742
62,2:n,2:n,,0.991
63,1:y,1:y,,0.923
64,2:n,2:n,,0.513
65,1:y,1:y,,0.853
66,1:y,1:y,,0.792
67,1:y,1:y,,0.885
68,2:n,2:n,,0.702
69,1:y,1:y,,0.797
70,2:n,2:n,,0.918
71,1:y,1:y,,0.708
72,2:n,2:n,,0.974
73,1:y,1:y,,0.883
74,2:n,2:n,,0.932
75,2:n,2:n,,0.955
76,2:n,2:n,,0.699
77,2:n,2:n,,0.998
78,1:y,1:y,,0.938
79,1:y,1:y,,0.581
80,2:n,2:n,,0.995
81,1:y,1:y,,0.896
82,1:y,2:n,+,0.528
83,1:y,1:y,,0.848
84,1:y,1:y,,0.751
85,1:y,1:y,,0.963
86,1:y,1:y,,0.608
87,1:y,1:y,,0.773
88,2:n,2:n,,0.988
89,1:y,1:y,,0.728
90,2:n,2:n,,0.866
91,2:n,1:y,+,0.641
92,1:y,1:y,,0.952
93,1:y,1:y,,0.913
94,2:n,2:n,,0.984
95,2:n,1:y,+,0.595
96,1:y,1:y,,0.92
97,2:n,2:n,,0.994
98,2:n,1:y,+,0.552
99,1:y,1:y,,0.724
100,1:y,1:y,,0.851
101,2:n,2:n,,0.982
102,2:n,2:n,,0.992
103,1:y,1:y,,0.814
104,2:n,2:n,,0.921
105,1:y,1:y,,0.995
106,2:n,2:n,,1
107,1:y,1:y,,0.687
108,2:n,2:n,,0.969
109,1:y,1:y,,0.847
110,2:n,2:n,,0.87
111,1:y,1:y,,0.967
112,2:n,2:n,,0.973
113,2:n,2:n,,0.99
114,2:n,2:n,,0.965
115,1:y,1:y,,0.935
116,2:n,2:n,,0.597
117,1:y,1:y,,0.777
118,2:n,2:n,,0.943
119,2:n,2:n,,0.982
120,2:n,1:y,+,0.55
121,2:n,1:y,+,0.883
122,2:n,1:y,+,0.98
123,2:n,2:n,,0.997
124,1:y,1:y,,0.785
125,2:n,2:n,,0.936
126,2:n,1:y,+,0.636
127,2:n,2:n,,0.984
128,2:n,2:n,,0.995
129,2:n,2:n,,0.993
130,2:n,2:n,,0.942
131,1:y,1:y,,0.982
132,1:y,1:y,,0.682
133,1:y,1:y,,0.789
134,1:y,1:y,,0.627
135,2:n,2:n,,0.953
136,1:y,1:y,,0.866
137,2:n,2:n,,0.984
138,2:n,2:n,,0.972
139,1:y,1:y,,0.983
140,1:y,1:y,,0.928
141,2:n,2:n,,0.985
142,1:y,1:y,,0.926
143,2:n,2:n,,0.95
144,1:y,1:y,,0.942
145,1:y,1:y,,0.777
146,2:n,1:y,+,0.521
147,1:y,1:y,,0.821
148,1:y,2:n,+,0.702
149,2:n,2:n,,0.936
150,1:y,1:y,,0.748
151,2:n,2:n,,0.508
152,2:n,1:y,+,0.838
153,2:n,1:y,+,0.582
154,2:n,2:n,,0.945
155,2:n,1:y,+,0.733
156,1:y,1:y,,0.982
157,1:y,2:n,+,0.972
158,1:y,1:y,,0.973
159,1:y,1:y,,0.952
160,1:y,1:y,,0.873
161,2:n,2:n,,0.963
162,1:y,1:y,,0.993
163,2:n,2:n,,0.99
164,1:y,1:y,,0.948
165,1:y,1:y,,0.88
166,1:y,1:y,,0.844
167,2:n,1:y,+,0.912
168,1:y,1:y,,0.982
169,1:y,1:y,,0.683
170,2:n,2:n,,0.876
171,1:y,1:y,,0.696
172,2:n,1:y,+,0.779
173,2:n,1:y,+,0.67
174,1:y,1:y,,0.938
175,1:y,1:y,,0.928
176,1:y,1:y,,0.942
177,2:n,2:n,,0.914
178,1:y,1:y,,0.761
179,2:n,2:n,,0.926
180,2:n,2:n,,0.871
181,1:y,1:y,,0.877
182,1:y,1:y,,0.772
183,1:y,1:y,,0.903
184,2:n,2:n,,0.927
185,1:y,1:y,,0.581
186,1:y,1:y,,0.897
187,2:n,1:y,+,0.825
188,1:y,1:y,,0.955
189,2:n,2:n,,0.988
190,1:y,1:y,,0.96
191,2:n,2:n,,0.993
192,2:n,2:n,,0.992
193,1:y,1:y,,0.917
194,2:n,2:n,,0.932
195,1:y,1:y,,0.822
196,1:y,2:n,+,0.516
197,1:y,1:y,,0.898
198,2:n,1:y,+,0.865
199,2:n,2:n,,0.823
200,1:y,1:y,,0.997
201,2:n,2:n,,0.57
202,2:n,2:n,,0.987
203,2:n,1:y,+,0.793
204,1:y,1:y,,0.905
205,2:n,2:n,,0.975
206,1:y,1:y,,0.992
207,1:y,1:y,,0.89
208,1:y,1:y,,0.734
209,2:n,1:y,+,0.556
210,1:y,1:y,,0.899
211,1:y,1:y,,0.922
212,2:n,2:n,,0.963
213,1:y,2:n,+,0.673
214,1:y,1:y,,0.92
215,2:n,2:n,,0.767
216,1:y,1:y,,0.715
217,1:y,1:y,,0.803
218,1:y,1:y,,0.792
219,2:n,1:y,+,0.606
220,2:n,1:y,+,0.613
221,2:n,2:n,,0.997
222,1:y,1:y,,0.662
223,2:n,2:n,,0.988
224,2:n,2:n,,0.853
225,1:y,1:y,,0.777
226,1:y,1:y,,0.815
227,1:y,1:y,,0.823
228,1:y,1:y,,0.91
229,1:y,1:y,,0.612
230,1:y,1:y,,0.987
231,2:n,2:n,,0.808
232,1:y,2:n,+,0.94
233,1:y,1:y,,0.645
234,1:y,1:y,,0.769
235,2:n,2:n,,0.995
236,1:y,1:y,,0.871
237,2:n,2:n,,0.988
238,1:y,1:y,,0.867
239,1:y,1:y,,0.855
240,1:y,1:y,,0.945
241,1:y,1:y,,0.85
242,1:y,1:y,,0.684
243,2:n,2:n,,0.989
244,2:n,2:n,,0.94
245,1:y,1:y,,0.899
246,2:n,1:y,+,0.759
247,1:y,1:y,,0.875
248,2:n,2:n,,0.975
249,1:y,1:y,,0.839
250,1:y,2:n,+,0.958
251,1:y,1:y,,0.766
252,1:y,1:y,,0.988
253,1:y,1:y,,0.833
254,1:y,1:y,,0.653
255,1:y,1:y,,0.928
256,1:y,1:y,,0.93
257,1:y,1:y,,0.919
258,1:y,2:n,+,0.948
259,1:y,1:y,,0.741
260,1:y,1:y,,0.938
261,1:y,1:y,,0.878
262,1:y,1:y,,0.794
263,1:y,1:y,,0.885
264,1:y,1:y,,0.863
265,1:y,1:y,,0.712
266,1:y,2:n,+,0.506
267,1:y,2:n,+,0.603
268,1:y,1:y,,0.79
269,2:n,2:n,,0.827
270,1:y,1:y,,0.732
271,1:y,1:y,,0.962
272,1:y,1:y,,0.873
273,2:n,2:n,,0.958
274,1:y,2:n,+,0.568
275,2:n,1:y,+,0.706
276,1:y,1:y,,0.915
277,1:y,1:y,,0.746
278,1:y,1:y,,0.865
279,1:y,1:y,,0.952
280,1:y,1:y,,0.757
281,2:n,2:n,,0.676
282,1:y,1:y,,0.658
283,1:y,1:y,,0.699
284,2:n,1:y,+,0.789
285,1:y,1:y,,0.902
286,2:n,2:n,,0.98
287,1:y,1:y,,0.682
288,1:y,1:y,,0.849
289,2:n,2:n,,0.922
290,2:n,2:n,,0.658
291,2:n,2:n,,0.99
292,2:n,2:n,,0.818
293,2:n,2:n,,0.92
294,1:y,1:y,,0.942
295,1:y,1:y,,0.817
296,2:n,2:n,,0.923
297,1:y,1:y,,0.776
298,1:y,1:y,,0.957
299,2:n,2:n,,0.93
300,1:y,1:y,,0.883
301,2:n,2:n,,0.976
302,2:n,2:n,,0.587
303,1:y,1:y,,0.938
304,2:n,2:n,,0.995
305,1:y,1:y,,0.706
306,1:y,1:y,,0.732
307,1:y,1:y,,0.522
308,2:n,2:n,,0.915
309,1:y,1:y,,0.807
310,1:y,1:y,,0.915
311,2:n,1:y,+,0.837
312,1:y,2:n,+,0.552
313,2:n,2:n,,0.962
314,2:n,2:n,,0.64
315,1:y,1:y,,0.822
316,2:n,2:n,,0.988
317,2:n,2:n,,0.982
318,1:y,1:y,,0.807
319,1:y,1:y,,0.922
320,2:n,2:n,,1
321,2:n,2:n,,0.935
322,2:n,2:n,,0.99
323,1:y,1:y,,0.962
324,1:y,1:y,,0.938
325,1:y,1:y,,0.838
326,1:y,1:y,,0.88
327,1:y,1:y,,0.965
328,2:n,2:n,,0.977
329,1:y,1:y,,0.98
330,1:y,1:y,,0.828
331,1:y,1:y,,0.873
332,1:y,1:y,,0.872
333,1:y,1:y,,0.831
334,1:y,1:y,,0.838
335,1:y,2:n,+,0.68
336,1:y,1:y,,0.86
337,1:y,1:y,,0.757
338,2:n,2:n,,0.984
339,1:y,1:y,,0.89
340,2:n,2:n,,0.922
341,1:y,1:y,,0.851
342,1:y,1:y,,0.933
343,2:n,2:n,,0.992
344,1:y,1:y,,0.896
345,2:n,2:n,,1
346,1:y,2:n,+,0.708
347,2:n,2:n,,0.997
348,1:y,1:y,,0.952
349,2:n,2:n,,0.699
350,2:n,2:n,,0.849
351,1:y,1:y,,0.814
352,1:y,1:y,,0.775
353,1:y,1:y,,0.902
354,2:n,2:n,,0.988
355,2:n,2:n,,0.969
356,2:n,1:y,+,0.676
357,1:y,1:y,,0.922
358,1:y,1:y,,0.975
359,2:n,2:n,,0.977
360,2:n,2:n,,0.992
361,1:y,1:y,,0.867
362,2:n,2:n,,0.955
363,1:y,1:y,,0.892
364,1:y,1:y,,0.948
365,1:y,1:y,,0.632
366,1:y,1:y,,0.953
367,2:n,2:n,,0.982
368,1:y,1:y,,0.978
369,1:y,1:y,,0.862
370,2:n,2:n,,0.988
371,1:y,1:y,,0.94
372,1:y,1:y,,0.93
373,1:y,1:y,,0.977
374,1:y,1:y,,0.943
375,1:y,1:y,,0.89
376,2:n,2:n,,0.508
377,1:y,1:y,,0.861
378,1:y,1:y,,0.736
379,1:y,1:y,,0.793
380,1:y,1:y,,0.633
381,1:y,1:y,,0.721
382,2:n,2:n,,0.89
383,1:y,1:y,,0.568
384,2:n,2:n,,0.99
385,2:n,2:n,,0.947
386,1:y,1:y,,0.627
387,2:n,2:n,,0.859
388,2:n,2:n,,0.947
389,2:n,2:n,,0.988
390,2:n,1:y,+,0.737
391,1:y,1:y,,0.892
392,1:y,1:y,,0.98
393,1:y,1:y,,0.679
394,1:y,1:y,,0.863
395,2:n,2:n,,0.987
396,1:y,1:y,,0.872
397,2:n,2:n,,0.711
398,2:n,2:n,,0.951
399,1:y,1:y,,0.798
400,2:n,1:y,+,0.7
401,1:y,1:y,,0.858
402,2:n,2:n,,1
403,2:n,2:n,,0.963
404,2:n,2:n,,0.979
405,1:y,1:y,,0.947
406,1:y,1:y,,0.852
407,2:n,2:n,,0.978
408,1:y,1:y,,0.803
409,1:y,1:y,,0.84
410,1:y,1:y,,0.902
411,1:y,1:y,,0.898
412,1:y,1:y,,0.79
413,1:y,1:y,,0.758
414,1:y,1:y,,0.801
415,2:n,2:n,,0.992
416,2:n,2:n,,0.957
417,1:y,1:y,,0.986
418,2:n,2:n,,0.987
419,2:n,2:n,,0.948
420,1:y,1:y,,0.99
421,1:y,1:y,,0.709
422,1:y,1:y,,0.945
423,2:n,1:y,+,0.75
424,1:y,1:y,,0.745
425,1:y,1:y,,0.95
426,1:y,1:y,,0.92
427,2:n,2:n,,0.995
428,1:y,1:y,,0.947
429,2:n,2:n,,0.991
430,1:y,1:y,,0.912
431,1:y,1:y,,0.872
432,1:y,1:y,,0.99
433,2:n,2:n,,0.977
434,2:n,2:n,,0.719
435,1:y,1:y,,0.778
436,2:n,2:n,,0.955
437,2:n,2:n,,0.987
438,2:n,2:n,,0.937
439,1:y,1:y,,0.992
440,1:y,2:n,+,0.766
441,1:y,1:y,,0.747
442,1:y,1:y,,0.958
443,1:y,1:y,,0.774
444,2:n,2:n,,0.987
445,2:n,1:y,+,0.838
446,1:y,1:y,,0.826
447,2:n,2:n,,0.993
448,2:n,2:n,,0.99
449,1:y,1:y,,0.87
450,1:y,1:y,,0.987
451,1:y,2:n,+,0.637
452,2:n,2:n,,0.803
453,2:n,1:y,+,0.511
454,1:y,1:y,,0.875
455,1:y,1:y,,0.877
456,1:y,1:y,,0.865
457,2:n,2:n,,0.976
458,1:y,1:y,,0.897
459,1:y,1:y,,0.866
460,2:n,2:n,,0.975
461,2:n,1:y,+,0.91
462,2:n,2:n,,0.94
463,2:n,2:n,,0.963
464,2:n,2:n,,0.985
465,2:n,2:n,,0.992
466,1:y,1:y,,0.777
467,1:y,1:y,,0.803
468,2:n,2:n,,0.541
469,2:n,2:n,,0.988
470,2:n,2:n,,0.988
471,1:y,1:y,,0.985
472,2:n,2:n,,0.977
473,2:n,2:n,,0.975
474,2:n,2:n,,0.99
475,1:y,1:y,,0.609
476,2:n,2:n,,0.995
477,1:y,1:y,,0.96
478,2:n,2:n,,0.995
479,1:y,1:y,,0.949
480,2:n,2:n,,1
481,1:y,1:y,,0.729
482,2:n,1:y,+,0.992
483,1:y,1:y,,0.81
484,1:y,1:y,,0.892
485,2:n,2:n,,0.961
486,1:y,1:y,,0.907
487,1:y,1:y,,0.856
488,1:y,1:y,,0.875
489,1:y,1:y,,0.892
490,2:n,1:y,+,0.572
491,2:n,2:n,,0.982
492,2:n,2:n,,0.99
493,2:n,2:n,,0.942
494,2:n,2:n,,0.797
495,1:y,1:y,,0.636
496,2:n,2:n,,0.884
497,1:y,1:y,,0.987
498,2:n,2:n,,0.988
499,2:n,1:y,+,0.847
500,1:y,1:y,,0.893
501,1:y,1:y,,0.75
502,2:n,2:n,,0.923
503,2:n,2:n,,0.99
504,2:n,1:y,+,0.667
505,2:n,2:n,,0.983
506,2:n,2:n,,0.976
