=== Run information ===

Scheme:       weka.classifiers.lazy.IBk -K 105 -W 0 -A "weka.core.neighboursearch.LinearNNSearch -A \"weka.core.EuclideanDistance -R first-last\""
Relation:     database_mean_unknown
Instances:    50000
Attributes:   26
              startHour
              startWeekday
              duration
              cCount
              cMinPrice
              cMaxPrice
              cSumPrice
              bCount
              bMinPrice
              bMaxPrice
              bSumPrice
              bStep
              onlineStatus
              availability
              maxVal
              customerScore
              accountLifetime
              payments
              age
              lastOrder
              rCount
              bMinPriceVariance
              bMaxPriceVariance
              bMeanVariance
              cMeanVariance
              order
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

IB1 instance-based classifier
using 105 nearest neighbour(s) for classification


Time taken to build model: 0.04 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.924
2,1:y,1:y,,0.962
3,1:y,1:y,,0.952
4,2:n,2:n,,0.79
5,2:n,2:n,,0.981
6,2:n,2:n,,0.952
7,2:n,2:n,,1
8,2:n,2:n,,0.99
9,2:n,2:n,,0.99
10,1:y,1:y,,0.933
11,2:n,2:n,,0.952
12,1:y,1:y,,0.981
13,1:y,1:y,,0.99
14,2:n,2:n,,0.943
15,1:y,2:n,+,0.971
16,2:n,2:n,,0.99
17,1:y,1:y,,1
18,1:y,1:y,,0.933
19,2:n,1:y,+,0.733
20,1:y,1:y,,0.914
21,2:n,2:n,,1
22,1:y,1:y,,0.924
23,1:y,1:y,,1
24,2:n,2:n,,0.99
25,2:n,2:n,,1
26,2:n,2:n,,0.99
27,1:y,1:y,,0.971
28,2:n,1:y,+,0.714
29,1:y,1:y,,0.924
30,2:n,2:n,,1
31,1:y,1:y,,0.99
32,1:y,1:y,,0.981
33,1:y,1:y,,0.952
34,2:n,2:n,,1
35,1:y,1:y,,0.914
36,2:n,1:y,+,0.867
37,1:y,1:y,,0.981
38,1:y,1:y,,0.8
39,1:y,1:y,,0.924
40,1:y,1:y,,0.981
41,2:n,2:n,,1
42,1:y,1:y,,0.971
43,2:n,2:n,,1
44,2:n,2:n,,0.981
45,1:y,1:y,,0.952
46,1:y,1:y,,0.943
47,2:n,1:y,+,0.943
48,2:n,2:n,,0.99
49,1:y,1:y,,0.99
50,2:n,2:n,,0.99
51,1:y,1:y,,0.981
52,1:y,1:y,,0.943
53,2:n,1:y,+,0.962
54,1:y,1:y,,0.905
55,2:n,2:n,,1
56,1:y,1:y,,0.943
57,2:n,2:n,,1
58,2:n,2:n,,1
59,1:y,2:n,+,0.962
60,1:y,1:y,,0.924
61,2:n,2:n,,1
62,2:n,2:n,,1
63,1:y,1:y,,0.943
64,2:n,2:n,,0.971
65,1:y,1:y,,0.705
66,1:y,1:y,,0.714
67,1:y,1:y,,0.971
68,2:n,2:n,,0.99
69,1:y,1:y,,0.924
70,2:n,2:n,,1
71,1:y,1:y,,0.943
72,2:n,2:n,,0.99
73,1:y,1:y,,0.705
74,2:n,2:n,,1
75,2:n,2:n,,1
76,2:n,2:n,,1
77,2:n,2:n,,1
78,1:y,1:y,,0.943
79,1:y,1:y,,0.99
80,2:n,2:n,,1
81,1:y,1:y,,0.714
82,1:y,1:y,,0.705
83,1:y,1:y,,0.971
84,1:y,1:y,,0.962
85,1:y,1:y,,0.714
86,1:y,1:y,,0.952
87,1:y,2:n,+,0.971
88,2:n,2:n,,1
89,1:y,1:y,,0.943
90,2:n,2:n,,0.99
91,2:n,1:y,+,0.99
92,1:y,1:y,,0.933
93,1:y,1:y,,1
94,2:n,2:n,,1
95,2:n,2:n,,0.99
96,1:y,2:n,+,0.981
97,2:n,1:y,+,0.724
98,2:n,2:n,,0.991
99,1:y,1:y,,0.924
100,1:y,1:y,,0.714
101,2:n,2:n,,1
102,2:n,2:n,,1
103,1:y,1:y,,0.952
104,2:n,2:n,,0.971
105,1:y,1:y,,0.99
106,2:n,2:n,,0.61
107,1:y,1:y,,0.99
108,2:n,2:n,,0.99
109,1:y,1:y,,0.943
110,2:n,2:n,,0.781
111,1:y,1:y,,0.962
112,2:n,1:y,+,0.829
113,2:n,2:n,,1
114,2:n,2:n,,0.981
115,1:y,1:y,,0.905
116,2:n,1:y,+,0.867
117,1:y,1:y,,0.914
118,2:n,2:n,,0.99
119,2:n,1:y,+,0.695
120,2:n,2:n,,0.99
121,2:n,2:n,,1
122,2:n,2:n,,0.981
123,2:n,2:n,,1
124,1:y,1:y,,0.981
125,2:n,2:n,,0.99
126,2:n,1:y,+,0.705
127,2:n,2:n,,1
128,2:n,2:n,,1
129,2:n,2:n,,1
130,2:n,2:n,,0.981
131,1:y,1:y,,0.99
132,1:y,1:y,,0.933
133,1:y,1:y,,0.971
134,1:y,1:y,,0.819
135,2:n,1:y,+,0.952
136,1:y,1:y,,0.714
137,2:n,2:n,,0.914
138,2:n,2:n,,1
139,1:y,1:y,,0.971
140,1:y,1:y,,0.962
141,2:n,2:n,,1
142,1:y,1:y,,1
143,2:n,1:y,+,0.648
144,1:y,2:n,+,0.562
145,1:y,1:y,,0.981
146,2:n,2:n,,1
147,1:y,1:y,,0.819
148,1:y,1:y,,0.752
149,2:n,2:n,,0.99
150,1:y,1:y,,0.914
151,2:n,2:n,,0.99
152,2:n,1:y,+,0.971
153,2:n,2:n,,0.99
154,2:n,2:n,,0.99
155,2:n,2:n,,1
156,1:y,1:y,,0.943
157,1:y,2:n,+,1
158,1:y,1:y,,0.914
159,1:y,1:y,,0.943
160,1:y,1:y,,0.971
161,2:n,2:n,,1
162,1:y,1:y,,0.99
163,2:n,2:n,,1
164,1:y,1:y,,0.962
165,1:y,1:y,,0.99
166,1:y,1:y,,0.962
167,2:n,2:n,,0.971
168,1:y,1:y,,0.952
169,1:y,1:y,,0.99
170,2:n,2:n,,0.99
171,1:y,1:y,,0.667
172,2:n,1:y,+,0.943
173,2:n,2:n,,0.981
174,1:y,1:y,,0.99
175,1:y,1:y,,0.943
176,1:y,1:y,,0.99
177,2:n,2:n,,0.981
178,1:y,1:y,,0.943
179,2:n,1:y,+,0.61
180,2:n,1:y,+,0.914
181,1:y,1:y,,0.981
182,1:y,1:y,,0.81
183,1:y,1:y,,0.99
184,2:n,2:n,,0.99
185,1:y,1:y,,0.962
186,1:y,1:y,,0.981
187,2:n,2:n,,0.99
188,1:y,1:y,,0.99
189,2:n,2:n,,1
190,1:y,1:y,,0.971
191,2:n,2:n,,1
192,2:n,1:y,+,0.924
193,1:y,1:y,,0.924
194,2:n,1:y,+,0.543
195,1:y,1:y,,0.933
196,1:y,1:y,,0.943
197,1:y,1:y,,0.971
198,2:n,2:n,,1
199,2:n,2:n,,0.99
200,1:y,1:y,,0.895
201,2:n,2:n,,0.99
202,2:n,2:n,,1
203,2:n,2:n,,1
204,1:y,1:y,,0.857
205,2:n,1:y,+,0.6
206,1:y,1:y,,0.971
207,1:y,1:y,,0.981
208,1:y,2:n,+,0.562
209,2:n,2:n,,0.99
210,1:y,1:y,,0.924
211,1:y,1:y,,0.99
212,2:n,2:n,,1
213,1:y,1:y,,0.924
214,1:y,1:y,,0.99
215,2:n,1:y,+,0.914
216,1:y,1:y,,0.981
217,1:y,1:y,,0.924
218,1:y,1:y,,0.952
219,2:n,2:n,,0.99
220,2:n,2:n,,0.99
221,2:n,2:n,,1
222,1:y,1:y,,0.857
223,2:n,2:n,,1
224,2:n,2:n,,0.99
225,1:y,1:y,,0.771
226,1:y,1:y,,0.619
227,1:y,1:y,,0.99
228,1:y,1:y,,0.924
229,1:y,1:y,,0.79
230,1:y,1:y,,0.99
231,2:n,2:n,,0.99
232,1:y,1:y,,0.59
233,1:y,1:y,,0.99
234,1:y,1:y,,0.99
235,2:n,2:n,,1
236,1:y,1:y,,0.99
237,2:n,2:n,,1
238,1:y,1:y,,0.99
239,1:y,1:y,,0.857
240,1:y,1:y,,1
241,1:y,1:y,,0.962
242,1:y,1:y,,0.99
243,2:n,2:n,,1
244,2:n,2:n,,1
245,1:y,1:y,,1
246,2:n,1:y,+,0.981
247,1:y,1:y,,0.924
248,2:n,2:n,,0.533
249,1:y,1:y,,0.8
250,1:y,2:n,+,1
251,1:y,1:y,,0.686
252,1:y,1:y,,0.924
253,1:y,1:y,,0.943
254,1:y,1:y,,0.924
255,1:y,1:y,,0.99
256,1:y,1:y,,0.99
257,1:y,1:y,,0.752
258,1:y,2:n,+,1
259,1:y,1:y,,0.971
260,1:y,1:y,,0.971
261,1:y,1:y,,0.99
262,1:y,1:y,,0.99
263,1:y,1:y,,0.933
264,1:y,1:y,,0.952
265,1:y,1:y,,0.724
266,1:y,1:y,,0.99
267,1:y,2:n,+,0.695
268,1:y,1:y,,0.914
269,2:n,1:y,+,0.886
270,1:y,1:y,,0.971
271,1:y,1:y,,0.924
272,1:y,1:y,,0.981
273,2:n,1:y,+,0.714
274,1:y,1:y,,0.771
275,2:n,2:n,,0.99
276,1:y,1:y,,0.99
277,1:y,1:y,,0.99
278,1:y,1:y,,0.943
279,1:y,1:y,,0.99
280,1:y,1:y,,0.8
281,2:n,2:n,,0.99
282,1:y,1:y,,0.781
283,1:y,1:y,,0.933
284,2:n,2:n,,0.972
285,1:y,1:y,,0.962
286,2:n,2:n,,1
287,1:y,1:y,,0.981
288,1:y,1:y,,0.99
289,2:n,2:n,,0.981
290,2:n,2:n,,0.99
291,2:n,2:n,,1
292,2:n,2:n,,1
