
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.928
2,1:y,1:y,,0.837
3,1:y,1:y,,0.928
4,2:n,1:y,+,0.928
5,2:n,2:n,,0.991
6,2:n,1:y,+,0.818
7,2:n,2:n,,0.991
8,2:n,2:n,,0.753
9,2:n,2:n,,0.912
10,1:y,1:y,,0.953
11,2:n,2:n,,0.948
12,1:y,1:y,,0.818
13,1:y,1:y,,0.837
14,2:n,1:y,+,0.928
15,1:y,2:n,+,0.948
16,2:n,2:n,,0.671
17,1:y,1:y,,0.837
18,1:y,1:y,,0.96
19,2:n,2:n,,0.991
20,1:y,1:y,,0.833
21,2:n,2:n,,0.991
22,1:y,1:y,,0.667
23,1:y,1:y,,0.928
24,2:n,2:n,,0.753
25,2:n,1:y,+,0.953
26,2:n,2:n,,0.985
27,1:y,1:y,,0.928
28,2:n,2:n,,0.985
29,1:y,1:y,,0.953
30,2:n,2:n,,0.991
31,1:y,1:y,,0.928
32,1:y,1:y,,0.928
33,1:y,1:y,,0.928
34,2:n,2:n,,0.929
35,1:y,1:y,,0.953
36,2:n,2:n,,0.991
37,1:y,1:y,,1
38,1:y,1:y,,0.837
39,1:y,1:y,,0.916
40,1:y,1:y,,0.699
41,2:n,2:n,,0.991
42,1:y,1:y,,0.833
43,2:n,2:n,,0.991
44,2:n,2:n,,0.933
45,1:y,1:y,,0.837
46,1:y,1:y,,0.928
47,2:n,1:y,+,0.928
48,2:n,2:n,,0.948
49,1:y,1:y,,0.928
50,2:n,2:n,,0.937
51,1:y,1:y,,0.928
52,1:y,1:y,,0.851
53,2:n,1:y,+,0.978
54,1:y,1:y,,0.966
55,2:n,2:n,,0.991
56,1:y,1:y,,0.953
57,2:n,2:n,,0.991
58,2:n,2:n,,0.948
59,1:y,2:n,+,0.948
60,1:y,1:y,,0.928
61,2:n,1:y,+,0.837
62,2:n,2:n,,0.991
63,1:y,1:y,,0.928
64,2:n,1:y,+,0.699
65,1:y,1:y,,0.852
66,1:y,1:y,,0.877
67,1:y,1:y,,0.837
68,2:n,2:n,,0.985
69,1:y,1:y,,0.833
70,2:n,2:n,,0.933
