
inst#,actual,predicted,error,prediction
1,1:y,1:y,,0.706
2,1:y,1:y,,0.765
3,1:y,1:y,,0.941
4,2:n,1:y,+,1
5,2:n,2:n,,1
6,2:n,1:y,+,0.824
7,2:n,2:n,,1
8,2:n,1:y,+,0.588
9,2:n,1:y,+,0.882
10,1:y,1:y,,0.765
11,2:n,2:n,,0.941
12,1:y,1:y,,0.882
13,1:y,1:y,,0.765
14,2:n,1:y,+,0.706
15,1:y,2:n,+,0.882
16,2:n,1:y,+,0.882
17,1:y,1:y,,0.765
18,1:y,1:y,,0.882
19,2:n,2:n,,0.647
20,1:y,1:y,,0.588
21,2:n,2:n,,1
22,1:y,1:y,,0.824
23,1:y,1:y,,0.882
24,2:n,2:n,,0.529
25,2:n,1:y,+,0.588
26,2:n,2:n,,0.882
27,1:y,1:y,,0.882
28,2:n,2:n,,0.941
29,1:y,1:y,,0.647
30,2:n,2:n,,1
31,1:y,1:y,,0.941
32,1:y,1:y,,0.647
33,1:y,1:y,,0.941
34,2:n,2:n,,1
35,1:y,1:y,,0.706
36,2:n,2:n,,0.706
37,1:y,1:y,,0.765
38,1:y,1:y,,0.765
39,1:y,1:y,,0.824
40,1:y,1:y,,0.706
41,2:n,2:n,,1
42,1:y,1:y,,0.941
43,2:n,2:n,,1
44,2:n,1:y,+,0.588
45,1:y,1:y,,0.824
46,1:y,1:y,,0.882
47,2:n,1:y,+,0.824
48,2:n,2:n,,1
49,1:y,1:y,,0.824
50,2:n,2:n,,0.706
51,1:y,1:y,,1
52,1:y,2:n,+,0.529
53,2:n,1:y,+,0.647
54,1:y,1:y,,0.765
55,2:n,2:n,,1
56,1:y,1:y,,0.647
57,2:n,2:n,,1
58,2:n,2:n,,1
59,1:y,2:n,+,1
60,1:y,1:y,,1
61,2:n,1:y,+,0.941
62,2:n,2:n,,0.941
63,1:y,1:y,,0.882
64,2:n,1:y,+,0.647
65,1:y,1:y,,0.706
66,1:y,1:y,,0.529
67,1:y,1:y,,0.765
68,2:n,2:n,,0.824
69,1:y,1:y,,0.765
70,2:n,2:n,,0.765
71,1:y,1:y,,0.824
72,2:n,2:n,,1
73,1:y,1:y,,0.706
74,2:n,2:n,,0.941
75,2:n,2:n,,1
