
inst#,actual,predicted,error,prediction
1,1:y,2:n,+,0.512
2,1:y,1:y,,0.659
3,1:y,1:y,,0.829
4,2:n,1:y,+,0.683
5,2:n,2:n,,0.976
6,2:n,1:y,+,0.756
7,2:n,2:n,,1
8,2:n,2:n,,0.561
9,2:n,1:y,+,0.683
10,1:y,1:y,,0.537
11,2:n,2:n,,0.976
12,1:y,1:y,,0.951
13,1:y,1:y,,1
14,2:n,1:y,+,0.829
15,1:y,2:n,+,0.976
16,2:n,1:y,+,0.659
17,1:y,1:y,,0.976
18,1:y,1:y,,0.634
19,2:n,2:n,,0.829
20,1:y,2:n,+,0.61
21,2:n,2:n,,1
22,1:y,2:n,+,0.61
23,1:y,1:y,,0.976
24,2:n,2:n,,0.634
25,2:n,2:n,,0.634
26,2:n,2:n,,0.854
27,1:y,1:y,,0.902
28,2:n,1:y,+,0.61
29,1:y,2:n,+,0.634
30,2:n,2:n,,1
31,1:y,1:y,,0.927
32,1:y,1:y,,0.78
33,1:y,1:y,,0.878
34,2:n,2:n,,1
35,1:y,2:n,+,0.512
36,2:n,1:y,+,0.561
37,1:y,1:y,,1
38,1:y,1:y,,0.976
39,1:y,2:n,+,0.634
40,1:y,1:y,,0.976
41,2:n,2:n,,1
42,1:y,1:y,,0.976
43,2:n,2:n,,1
44,2:n,1:y,+,0.707
45,1:y,1:y,,0.61
46,1:y,1:y,,0.829
47,2:n,1:y,+,0.707
48,2:n,2:n,,1
49,1:y,1:y,,1
50,2:n,2:n,,0.805
51,1:y,1:y,,0.976
52,1:y,2:n,+,0.707
53,2:n,1:y,+,0.683
54,1:y,1:y,,0.683
55,2:n,2:n,,1
56,1:y,1:y,,0.512
57,2:n,2:n,,1
58,2:n,2:n,,1
59,1:y,2:n,+,1
60,1:y,1:y,,0.829
61,2:n,1:y,+,0.732
62,2:n,2:n,,1
63,1:y,1:y,,0.707
64,2:n,1:y,+,0.659
65,1:y,2:n,+,0.78
66,1:y,1:y,,0.829
67,1:y,1:y,,0.707
68,2:n,2:n,,0.881
69,1:y,1:y,,0.561
70,2:n,2:n,,0.854
71,1:y,1:y,,0.659
72,2:n,2:n,,0.805
73,1:y,2:n,+,0.829
74,2:n,2:n,,0.756
75,2:n,2:n,,1
76,2:n,1:y,+,0.537
77,2:n,2:n,,1
78,1:y,1:y,,0.732
79,1:y,1:y,,0.927
80,2:n,2:n,,1
81,1:y,1:y,,0.829
82,1:y,2:n,+,0.659
83,1:y,1:y,,0.829
84,1:y,1:y,,0.707
85,1:y,1:y,,0.707
86,1:y,1:y,,0.805
87,1:y,1:y,,0.756
88,2:n,2:n,,1
89,1:y,2:n,+,0.561
90,2:n,2:n,,0.829
91,2:n,1:y,+,0.976
92,1:y,1:y,,0.829
93,1:y,1:y,,1
94,2:n,2:n,,1
95,2:n,2:n,,0.585
96,1:y,1:y,,0.756
97,2:n,2:n,,0.512
98,2:n,2:n,,0.78
99,1:y,2:n,+,0.659
100,1:y,1:y,,0.951
101,2:n,2:n,,1
102,2:n,2:n,,1
103,1:y,1:y,,0.829
104,2:n,2:n,,1
105,1:y,1:y,,0.976
106,2:n,2:n,,0.78
107,1:y,1:y,,0.976
108,2:n,2:n,,0.805
109,1:y,1:y,,0.829
110,2:n,2:n,,0.878
111,1:y,1:y,,0.634
112,2:n,1:y,+,0.805
113,2:n,2:n,,1
114,2:n,2:n,,1
115,1:y,1:y,,0.878
116,2:n,1:y,+,0.976
117,1:y,2:n,+,0.561
118,2:n,2:n,,0.83
119,2:n,2:n,,0.927
120,2:n,2:n,,0.683
121,2:n,2:n,,0.732
122,2:n,1:y,+,0.683
123,2:n,2:n,,1
124,1:y,1:y,,0.976
125,2:n,2:n,,0.805
126,2:n,1:y,+,0.78
127,2:n,2:n,,1
128,2:n,2:n,,1
129,2:n,2:n,,1
130,2:n,2:n,,1
131,1:y,1:y,,0.976
132,1:y,1:y,,0.976
133,1:y,1:y,,0.732
134,1:y,1:y,,0.976
135,2:n,1:y,+,0.61
136,1:y,1:y,,0.829
137,2:n,2:n,,0.902
138,2:n,2:n,,1
139,1:y,1:y,,0.829
140,1:y,1:y,,0.805
141,2:n,2:n,,1
142,1:y,1:y,,0.976
143,2:n,2:n,,0.854
144,1:y,1:y,,0.707
145,1:y,1:y,,0.732
146,2:n,2:n,,0.805
147,1:y,1:y,,0.951
148,1:y,1:y,,0.976
149,2:n,2:n,,1
150,1:y,1:y,,0.78
151,2:n,2:n,,0.829
152,2:n,1:y,+,0.78
153,2:n,1:y,+,0.512
154,2:n,2:n,,0.951
155,2:n,1:y,+,0.561
156,1:y,1:y,,0.854
157,1:y,2:n,+,1
158,1:y,1:y,,0.707
159,1:y,1:y,,0.951
160,1:y,1:y,,0.61
161,2:n,2:n,,0.913
162,1:y,1:y,,1
163,2:n,2:n,,1
164,1:y,1:y,,0.756
165,1:y,1:y,,0.976
166,1:y,1:y,,0.829
167,2:n,1:y,+,0.805
168,1:y,1:y,,0.902
169,1:y,1:y,,0.976
170,2:n,2:n,,0.805
171,1:y,1:y,,0.707
172,2:n,1:y,+,0.829
173,2:n,1:y,+,0.585
174,1:y,1:y,,0.976
175,1:y,2:n,+,0.674
176,1:y,1:y,,0.976
177,2:n,2:n,,0.976
178,1:y,1:y,,0.927
179,2:n,2:n,,0.756
180,2:n,1:y,+,0.878
181,1:y,1:y,,0.976
182,1:y,1:y,,1
183,1:y,1:y,,1
184,2:n,2:n,,0.878
185,1:y,1:y,,0.976
186,1:y,1:y,,0.61
187,2:n,2:n,,0.585
188,1:y,1:y,,0.976
189,2:n,2:n,,1
190,1:y,1:y,,0.976
191,2:n,2:n,,1
192,2:n,2:n,,0.78
193,1:y,1:y,,0.878
194,2:n,2:n,,0.683
195,1:y,2:n,+,0.561
196,1:y,1:y,,0.854
197,1:y,1:y,,0.976
198,2:n,2:n,,0.537
199,2:n,2:n,,0.537
200,1:y,1:y,,0.683
201,2:n,2:n,,0.805
202,2:n,2:n,,1
203,2:n,2:n,,0.512
204,1:y,1:y,,0.878
205,2:n,2:n,,0.927
206,1:y,1:y,,0.854
207,1:y,1:y,,1
208,1:y,2:n,+,0.805
209,2:n,1:y,+,0.561
210,1:y,1:y,,0.683
211,1:y,1:y,,0.976
212,2:n,2:n,,0.913
213,1:y,1:y,,0.61
214,1:y,1:y,,0.976
215,2:n,1:y,+,0.683
216,1:y,1:y,,0.951
