
inst#,actual,predicted,error,prediction
1,1:y,2:n,+,0.564
2,1:y,1:y,,0.743
3,1:y,1:y,,0.782
4,2:n,1:y,+,0.693
5,2:n,2:n,,0.98
6,2:n,1:y,+,0.713
7,2:n,2:n,,1
8,2:n,2:n,,0.564
9,2:n,1:y,+,0.644
10,1:y,1:y,,0.644
11,2:n,2:n,,0.96
12,1:y,1:y,,0.96
13,1:y,1:y,,0.99
14,2:n,1:y,+,0.782
15,1:y,2:n,+,0.97
16,2:n,1:y,+,0.683
17,1:y,1:y,,0.99
18,1:y,1:y,,0.564
19,2:n,2:n,,0.653
20,1:y,2:n,+,0.564
21,2:n,2:n,,1
22,1:y,2:n,+,0.644
23,1:y,1:y,,0.99
24,2:n,2:n,,0.574
25,2:n,2:n,,0.683
26,2:n,2:n,,0.842
27,1:y,1:y,,0.832
28,2:n,1:y,+,0.782
29,1:y,2:n,+,0.604
30,2:n,2:n,,1
31,1:y,1:y,,0.97
32,1:y,1:y,,0.743
33,1:y,1:y,,0.901
34,2:n,2:n,,1
35,1:y,2:n,+,0.535
36,2:n,1:y,+,0.584
37,1:y,1:y,,0.98
38,1:y,1:y,,0.95
39,1:y,2:n,+,0.723
40,1:y,1:y,,0.901
41,2:n,2:n,,1
42,1:y,1:y,,0.96
43,2:n,2:n,,1
44,2:n,1:y,+,0.614
45,1:y,1:y,,0.535
46,1:y,1:y,,0.673
47,2:n,1:y,+,0.733
48,2:n,2:n,,1
49,1:y,1:y,,0.98
50,2:n,2:n,,0.802
51,1:y,1:y,,0.97
52,1:y,1:y,,0.515
53,2:n,1:y,+,0.723
54,1:y,1:y,,0.703
55,2:n,2:n,,1
56,1:y,1:y,,0.604
57,2:n,2:n,,1
58,2:n,2:n,,1
59,1:y,2:n,+,0.99
60,1:y,1:y,,0.822
61,2:n,1:y,+,0.644
62,2:n,2:n,,1
63,1:y,1:y,,0.782
64,2:n,1:y,+,0.713
65,1:y,2:n,+,0.723
66,1:y,1:y,,0.812
67,1:y,1:y,,0.683
68,2:n,2:n,,0.832
69,1:y,1:y,,0.653
70,2:n,2:n,,0.832
71,1:y,1:y,,0.683
72,2:n,2:n,,0.843
73,1:y,2:n,+,0.752
74,2:n,2:n,,0.832
75,2:n,2:n,,1
76,2:n,2:n,,0.608
77,2:n,2:n,,1
78,1:y,1:y,,0.762
79,1:y,1:y,,0.851
80,2:n,2:n,,1
81,1:y,1:y,,0.812
82,1:y,2:n,+,0.634
83,1:y,1:y,,0.812
